Class,Question,Answer
Animal,นกกระตั้วดำ,ที่นี่มีนกกระตั้วดำค่ะ
Animal,มีนกกระตั้วดำไหม,ที่นี่มีนกกระตั้วดำค่ะ
Animal,มีนกกระตั้วดำไหมอ่ะ,ที่นี่มีนกกระตั้วดำค่ะ
Animal,มีนกกระตั้วดำไหมหรือเปล่า,ที่นี่มีนกกระตั้วดำค่ะ
Animal,มีนกกระตั้วดำป้ะ,ที่นี่มีนกกระตั้วดำค่ะ
Animal,นกกระตั้วดำกินอะไร,ใบไม้อ่อน เมล็ดพืช และผลไม้ บางครั้งกินแมลง และตัวอ่อนของแมลง
Animal,นกกระตั้วดำกินไรอ่ะ,ใบไม้อ่อน เมล็ดพืช และผลไม้ บางครั้งกินแมลง และตัวอ่อนของแมลง
Animal,นกกระตั้วดำกินราย,ใบไม้อ่อน เมล็ดพืช และผลไม้ บางครั้งกินแมลง และตัวอ่อนของแมลง
Animal,นกกระตั้วดำกินไอไหร,ใบไม้อ่อน เมล็ดพืช และผลไม้ บางครั้งกินแมลง และตัวอ่อนของแมลง
Animal,นกกระตั้วดำกินไร,ใบไม้อ่อน เมล็ดพืช และผลไม้ บางครั้งกินแมลง และตัวอ่อนของแมลง
Animal,นกกระแตแต้แว๊ด,ที่นี่มีนกกระแตแต้แว๊ดค่ะ
Animal,มีนกกระแตแต้แว๊ดไหม,ที่นี่มีนกกระแตแต้แว๊ดค่ะ
Animal,มีนกกระแตแต้แว๊ดไหมอ่ะ,ที่นี่มีนกกระแตแต้แว๊ดค่ะ
Animal,มีนกกระแตแต้แว๊ดไหมหรือเปล่า,ที่นี่มีนกกระแตแต้แว๊ดค่ะ
Animal,มีนกกระแตแต้แว๊ดป้ะ,ที่นี่มีนกกระแตแต้แว๊ดค่ะ
Animal,นกกระแตแต้แว๊ดกินอะไร,ลูกกุ้ง ลูกปลาเล็ก ๆ ตลอดจนไส้เดือน หนอนแดงและแมลงบางชนิดที่อาศัยอยู่ตามบึง หรือหนองน้ำทั่วไป
Animal,นกกระแตแต้แว๊ดกินไรอ่ะ,ลูกกุ้ง ลูกปลาเล็ก ๆ ตลอดจนไส้เดือน หนอนแดงและแมลงบางชนิดที่อาศัยอยู่ตามบึง หรือหนองน้ำทั่วไป
Animal,นกกระแตแต้แว๊ดกินราย,ลูกกุ้ง ลูกปลาเล็ก ๆ ตลอดจนไส้เดือน หนอนแดงและแมลงบางชนิดที่อาศัยอยู่ตามบึง หรือหนองน้ำทั่วไป
Animal,นกกระแตแต้แว๊ดกินไอไหร,ลูกกุ้ง ลูกปลาเล็ก ๆ ตลอดจนไส้เดือน หนอนแดงและแมลงบางชนิดที่อาศัยอยู่ตามบึง หรือหนองน้ำทั่วไป
Animal,นกกระแตแต้แว๊ดกินไร,ลูกกุ้ง ลูกปลาเล็ก ๆ ตลอดจนไส้เดือน หนอนแดงและแมลงบางชนิดที่อาศัยอยู่ตามบึง หรือหนองน้ำทั่วไป
Animal,นกกุลา,ที่นี่มีนกกุลาค่ะ
Animal,มีนกกุลาไหม,ที่นี่มีนกกุลาค่ะ
Animal,มีนกกุลาไหมอ่ะ,ที่นี่มีนกกุลาค่ะ
Animal,มีนกกุลาไหมหรือเปล่า,ที่นี่มีนกกุลาค่ะ
Animal,มีนกกุลาป้ะ,ที่นี่มีนกกุลาค่ะ
Animal,นกกุลากินอะไร,หอย ปู ปลา กุ้ง และแมลงบางชนิด
Animal,นกกุลากินไรอ่ะ,หอย ปู ปลา กุ้ง และแมลงบางชนิด
Animal,นกกุลากินราย,หอย ปู ปลา กุ้ง และแมลงบางชนิด
Animal,นกกุลากินไอไหร,หอย ปู ปลา กุ้ง และแมลงบางชนิด
Animal,นกกุลากินไร,หอย ปู ปลา กุ้ง และแมลงบางชนิด
Animal,นกขมิ้นท้ายทอยดำ,ที่นี่มีนกขมิ้นท้ายทอยดำค่ะ
Animal,มีนกขมิ้นท้ายทอยดำไหม,ที่นี่มีนกขมิ้นท้ายทอยดำค่ะ
Animal,มีนกขมิ้นท้ายทอยดำไหมอ่ะ,ที่นี่มีนกขมิ้นท้ายทอยดำค่ะ
Animal,มีนกขมิ้นท้ายทอยดำไหมหรือเปล่า,ที่นี่มีนกขมิ้นท้ายทอยดำค่ะ
Animal,มีนกขมิ้นท้ายทอยดำป้ะ,ที่นี่มีนกขมิ้นท้ายทอยดำค่ะ
Animal,นกขมิ้นท้ายทอยดำกินอะไร,แมลง ผลไม้สุก และ น้ำหวานดอกไม้ โดยเฉพาะต้นทองหลางและต้นงิ้ว
Animal,นกขมิ้นท้ายทอยดำกินไรอ่ะ,แมลง ผลไม้สุก และ น้ำหวานดอกไม้ โดยเฉพาะต้นทองหลางและต้นงิ้ว
Animal,นกขมิ้นท้ายทอยดำกินราย,แมลง ผลไม้สุก และ น้ำหวานดอกไม้ โดยเฉพาะต้นทองหลางและต้นงิ้ว
Animal,นกขมิ้นท้ายทอยดำกินไอไหร,แมลง ผลไม้สุก และ น้ำหวานดอกไม้ โดยเฉพาะต้นทองหลางและต้นงิ้ว
Animal,นกขมิ้นท้ายทอยดำกินไร,แมลง ผลไม้สุก และ น้ำหวานดอกไม้ โดยเฉพาะต้นทองหลางและต้นงิ้ว
Animal,นกค๊อกคาเทล,ที่นี่มีนกค๊อกคาเทลค่ะ
Animal,มีนกค๊อกคาเทลไหม,ที่นี่มีนกค๊อกคาเทลค่ะ
Animal,มีนกค๊อกคาเทลไหมอ่ะ,ที่นี่มีนกค๊อกคาเทลค่ะ
Animal,มีนกค๊อกคาเทลไหมหรือเปล่า,ที่นี่มีนกค๊อกคาเทลค่ะ
